4001013,"Full Translation ","2016-09-14","2016-09-22",19874,"Paid","",3000019,517,339,NULL,"Completed",8000035,"2016-11-30 08:04:51",2583.62,1000001,NULL
4001014,"161-L3053A-PFAP","2016-11-30","2016-12-02",201,"Paid","",3000021,518,339,NULL,"Completed",8000042,"2016-12-01 06:36:16",26.13,1000002,NULL
4001015,"Translation Only","2016-12-13","2016-12-18",18570,"Paid","",3000034,517,339,NULL,"Completed",8000035,"2016-12-13 08:28:21",2414.113,1000001,NULL
4001017,"B222-ULG-1304_EN_FA_A","2017-04-13","2017-04-13",83,"Paid","",3000092,519,339,NULL,"Completed",8000057,"2017-04-16 07:14:06",3.32,1000002,NULL
4001019,"Test Task","2017-04-16","2017-05-08",1000,"Paid","Noted",3000094,517,339,NULL,"In Progress",8000036,"2017-04-16 13:18:35",100,999999,NULL
4001023,"16171169","2017-03-28","2017-03-31",542,"Paid","",3000127,519,339,NULL,"Completed",8000064,"2017-04-25 06:24:53",48.78,1000002,NULL
4001025,"//P403.422//A. RAMADAN//AR/ANG","2017-04-12","2017-04-13",375,"Paid","",3000091,517,339,NULL,"Completed",8000051,"2017-04-25 16:08:49",71.25,1000002,NULL
4001026,"376.1067//A. RAMADAN//COR/ANG","2017-04-02","2017-04-04",1154,"Paid","",3000090,517,339,NULL,"Completed",8000055,"2017-04-25 18:28:14",80,1000002,NULL
4001027,"B054-ULG-3103_EN_FA_A","2017-03-31","2017-04-03",189,"Not Paid","",3000129,519,339,NULL,"Completed",8000056,"2017-04-25 18:36:53",5.67,1000002,"2021-05-22"
4001028,"Korean into English Translation","2017-03-28","2017-03-30",615,"Paid","",3000088,517,339,NULL,"Completed",8000055,"2017-04-25 19:01:47",40,1000002,NULL
4001029,"D480.293//A. RAMADAN//ALL/AR","2017-03-22","2017-03-22",418,"Paid","",3000085,517,339,NULL,"Completed",8000059,"2017-04-25 19:48:17",62.7,1000002,NULL
4001030,"German into Arabic","2017-03-22","2017-03-22",729,"Paid","",3000086,517,339,NULL,"Completed",8000066,"2017-04-25 20:10:26",145.8,1000002,NULL
4001031,"356.4746//A. RAMADAN//AR/ANG","2017-03-22","2017-03-22",89,"Paid","",3000084,517,339,NULL,"Completed",8000052,"2017-04-25 20:20:38",12.46,1000002,NULL
4001032,"HuaWei_C17009703065_TO201703000316_EMUI5.1_CloudPortal_UI_21L_tr-tr","2017-03-15","2017-03-15",442,"Paid","",3000130,519,339,NULL,"Completed",8000054,"2017-04-25 20:44:07",22.1,1000002,"2019-08-19"
4001033,"English into Afrikaans translation task","2017-01-25","2017-01-26",2711,"Paid","",3000055,517,339,NULL,"Completed",8000067,"2017-04-25 20:54:23",189.77,1000002,"2018-05-05"
4001034,"English into Somali Translation","2017-01-26","2017-01-26",167,"Not Paid","",3000056,517,339,NULL,"Completed",8000068,"2017-04-25 20:59:16",1.5,1000002,NULL
4001035,"D100.1572//A. RAMADAN//ALL/AR","2017-03-11","2017-03-13",349,"Paid","",3000082,517,339,NULL,"Completed",8000059,"2017-04-25 21:04:01",52.35,1000002,NULL
4001036,"Translation Task Slovak into English","2017-04-27","2017-04-28",190,"Paid","",3000131,517,339,NULL,"Completed",8000069,"2017-04-27 13:34:42",10,1000002,NULL
4001038,"D280.571","2017-04-24","2017-04-24",155,"Paid","",3000087,517,339,NULL,"Completed",8000070,"2017-04-28 12:07:30",1.55,1000002,NULL
