11019,2016-11-30 07:05:34,2016-11-30,1,1000001,Paid,3676.69,3676.69,"",
11020,2016-12-01 05:49:28,2016-12-01,1,1000001,Paid,0.19,0.19,"",
11022,2016-12-09 07:53:56,2016-12-09,1,1000001,Paid,0,0,"",
11023,2016-12-09 08:03:28,2016-12-09,1,1000001,Paid,50,50,"",
11025,2016-12-11 05:59:51,2016-12-11,1,1000001,Paid,50,50,"",
11026,2016-12-11 06:01:21,2016-12-11,1,1000001,Paid,380.11,380.11,"",
11027,2016-12-11 06:03:16,2016-12-11,1,1000001,Paid,119.38,119.38,"",
11028,2016-12-11 06:04:02,2016-12-11,1,1000001,Paid,746.68,746.68,"",
11029,2016-12-11 06:05:16,2016-12-11,1,1000001,Paid,50,50,"",
11030,2016-12-11 06:06:06,2016-12-11,1,1000001,Paid,0.19,0.19,"",
11031,2016-12-11 06:12:02,2016-12-11,1,1000001,Paid,379.49,379.49,"",
11032,2016-12-11 06:13:08,2016-12-11,1,1000001,Paid,53.58,53.58,"",
11033,2016-12-13 07:37:13,2016-12-13,1,1000001,Paid,4073.81,4073.81,"",
11034,2016-12-20 03:22:51,2016-12-20,1,1000002,Paid,154.7,154.7,"",
11035,2016-12-20 04:30:08,2016-12-20,1,1000001,Paid,6320.16,6320.16,"",
11036,2016-12-20 04:30:37,2016-12-20,1,1000001,Paid,10533.6,10533.6,"",
11037,2016-12-20 04:31:27,2016-12-20,1,1000001,Paid,4213.44,4213.44,"",
11038,2016-12-20 04:31:59,2016-12-20,1,1000001,Paid,154.7,154.7,"",
11039,2016-12-20 04:32:27,2016-12-20,1,1000001,Paid,251.58,251.58,"",
11040,2016-12-20 04:32:55,2016-12-20,1,1000001,Paid,0,0,"",
11041,2016-12-20 08:11:45,2016-12-20,1,1000001,Paid,305.48,305.48,"",
11042,2017-01-03 19:18:04,2017-01-03,1,1000001,Paid,1500,90,"",
11043,2017-01-03 19:19:01,2017-01-03,1,1000001,Paid,900,54,"",
11044,2017-01-10 10:03:42,2017-01-10,1,1000001,Paid,10000,600,"",
