10,11023,3000031,2016-12-10 16:08:09
11,11019,3000019,2016-12-10 16:09:55
12,11020,3000021,2016-12-10 16:11:53
14,11025,3000024,2016-12-11 05:59:51
15,11026,3000025,2016-12-11 06:01:21
16,11027,3000026,2016-12-11 06:03:16
17,11028,3000027,2016-12-11 06:04:02
18,11029,3000028,2016-12-11 06:05:16
19,11030,3000021,2016-12-11 06:06:06
20,11031,3000029,2016-12-11 06:12:02
21,11032,3000030,2016-12-11 06:13:08
22,11033,3000034,2016-12-13 07:37:13
23,11034,3000039,2016-12-20 03:22:51
24,11035,3000035,2016-12-20 04:30:08
25,11036,3000036,2016-12-20 04:30:37
26,11037,3000037,2016-12-20 04:31:27
27,11038,3000039,2016-12-20 04:31:59
28,11039,3000040,2016-12-20 04:32:27
29,11040,3000041,2016-12-20 04:32:55
30,11041,3000038,2016-12-20 08:11:45
31,11042,3000042,2017-01-03 19:18:04
32,11043,3000043,2017-01-03 19:19:01
33,11044,3000044,2017-01-10 10:03:42
34,11045,3000045,2017-01-10 10:04:17
35,11046,3000046,2017-01-10 10:04:45
36,11047,3000047,2017-01-28 03:07:39
37,11048,3000048,2017-01-28 03:09:36
38,11049,3000049,2017-01-28 03:53:03
39,11050,3000050,2017-01-28 03:58:20
40,11051,3000051,2017-01-28 03:58:49
41,11052,3000052,2017-01-28 03:59:26
42,11053,3000053,2017-01-28 03:59:52
43,11054,3000054,2017-02-07 07:50:52
45,11056,3000057,2017-03-11 03:32:41
46,11057,3000058,2017-03-11 03:33:07
47,11058,3000059,2017-03-11 03:33:43
48,11059,3000060,2017-03-11 03:34:05
49,11060,3000061,2017-03-11 03:35:14
50,11061,3000062,2017-03-11 03:35:40
51,11062,3000063,2017-03-11 03:36:01
52,11063,3000069,2017-03-25 08:42:25
53,11064,3000070,2017-03-25 09:58:26
54,11065,3000071,2017-03-25 09:59:01
55,11066,3000072,2017-03-25 10:02:38
56,11067,3000073,2017-03-25 10:03:08
57,11068,3000074,2017-03-25 10:03:52
58,11069,3000075,2017-03-25 10:04:36
59,11070,3000076,2017-03-25 10:05:37
61,11072,3000077,2017-04-14 20:24:30
62,11073,3000078,2017-04-14 20:24:49
63,11074,3000079,2017-04-14 20:25:17
64,11075,3000080,2017-04-14 20:25:33
65,11076,3000081,2017-04-14 20:25:48
66,11077,3000064,2017-04-14 20:27:01
67,11078,3000065,2017-04-14 20:27:25
68,11079,3000066,2017-04-14 20:27:45
69,11080,3000067,2017-04-14 20:28:16
70,11081,3000068,2017-04-14 20:28:32
71,11082,3000082,2017-04-14 20:30:09
72,11083,3000083,2017-04-14 20:30:38
73,11084,3000084,2017-04-14 20:30:56
74,11085,3000085,2017-04-14 20:31:14
75,11086,3000086,2017-04-14 20:31:35
76,11087,3000087,2017-04-14 20:31:56
77,11088,3000088,2017-04-14 20:32:34
78,11089,3000089,2017-04-14 20:32:52
79,11090,3000090,2017-04-14 20:33:53
80,11091,3000091,2017-04-14 20:34:19
81,11092,3000055,2017-04-14 20:37:42
82,11092,3000056,2017-04-14 20:37:42
83,11093,3000092,2017-04-17 18:42:12
86,11095,3000133,2017-04-28 11:11:53
87,11096,3000134,2017-04-28 11:12:29
88,11097,3000135,2017-04-28 11:14:44
89,11098,3000136,2017-04-28 11:15:46
90,11099,3000137,2017-04-28 11:16:22
91,11100,3000138,2017-04-28 11:17:11
92,11101,3000139,2017-04-28 11:17:56
93,11102,3000145,2017-05-08 03:28:06
94,11103,3000146,2017-05-08 03:35:38
95,11104,3000147,2017-05-08 03:36:08
96,11105,3000151,2017-05-27 19:49:28
99,11108,3000143,2017-05-27 21:48:25
100,11109,3000144,2017-05-27 21:48:54
101,11110,3000157,2017-05-27 21:49:39
102,11111,3000159,2017-05-27 21:50:12
103,11112,3000158,2017-05-27 21:51:09
104,11113,3000160,2017-05-27 21:51:37
108,11116,3000142,2017-07-10 07:39:19
109,11117,3000172,2017-07-10 07:40:03
110,11118,3000173,2017-07-10 07:40:21
111,11119,3000174,2017-07-10 07:40:40
112,11120,3000175,2017-07-11 17:28:04
113,11121,3000167,2017-07-12 15:53:49
115,11123,3000169,2017-07-12 15:54:25
116,11124,3000170,2017-07-12 15:54:49
117,11125,3000171,2017-07-12 15:55:06
118,11126,3000176,2017-07-12 15:55:35
119,11127,3000177,2017-07-13 10:59:58
120,11128,3000178,2017-07-13 13:17:46
121,11129,3000179,2017-07-13 13:18:25
122,11130,3000129,2017-07-25 09:22:59
123,11131,3000181,2017-07-25 09:23:14
124,11132,3000182,2017-07-25 09:25:30
125,11133,3000183,2017-07-25 09:58:29
133,11141,3000185,2017-08-08 11:44:12
134,11142,3000187,2017-08-08 11:44:31
135,11143,3000189,2017-08-09 10:00:14
142,11144,3000190,2017-09-02 13:15:13
143,11145,3000191,2017-09-02 13:15:33
144,11146,3000192,2017-09-02 13:15:58
145,11147,3000194,2017-09-02 13:16:16
146,11148,3000195,2017-09-02 13:16:41
147,11149,3000196,2017-09-02 13:17:22
148,11150,3000193,2017-09-02 13:18:28
150,11152,3000224,2017-09-22 21:47:44
151,11153,3000216,2017-09-22 21:48:04
152,11154,3000218,2017-09-22 21:48:19
153,11155,3000220,2017-09-22 21:48:31
154,11156,3000221,2017-09-22 21:48:43
155,11157,3000222,2017-09-22 21:48:56
156,11158,3000209,2017-09-22 21:49:27
159,11160,3000214,2017-09-23 14:09:14
160,11160,3000215,2017-09-23 14:09:14
161,11160,3000217,2017-09-23 14:09:14
162,11134,3000152,2017-10-04 12:42:27
163,11135,3000153,2017-10-04 12:42:55
164,11136,3000161,2017-10-04 12:43:16
165,11137,3000162,2017-10-04 12:43:35
166,11138,3000163,2017-10-04 14:26:56
167,11139,3000184,2017-10-04 14:27:24
168,11161,3000244,2017-10-04 15:59:31
169,11162,3000248,2017-10-04 15:59:49
170,11163,3000249,2017-10-04 16:00:07
171,11164,3000250,2017-10-04 16:00:26
172,11165,3000203,2017-10-04 16:00:56
173,11166,3000219,2017-10-04 16:01:11
174,11167,3000223,2017-10-04 16:01:28
175,11168,3000238,2017-10-04 16:01:45
176,11169,3000239,2017-10-04 16:02:16
177,11169,3000240,2017-10-04 16:02:16
178,11170,3000247,2017-10-04 16:02:52
179,11171,3000245,2017-10-04 16:03:15
180,11172,3000246,2017-10-04 16:03:36
181,11173,3000241,2017-10-04 16:04:34
182,11173,3000242,2017-10-04 16:04:34
183,11173,3000243,2017-10-04 16:04:34
184,11174,3000127,2017-10-04 16:05:08
185,11175,3000148,2017-10-04 16:06:27
186,11176,3000186,2017-10-04 16:06:59
187,11177,3000130,2017-10-04 16:08:19
188,11178,3000155,2017-10-04 16:08:42
189,11179,3000156,2017-10-04 16:09:03
191,11181,3000253,2017-10-16 12:48:35
192,11182,3000254,2017-10-16 12:49:00
193,11183,3000213,2017-10-16 15:24:31
194,11184,3000255,2017-10-16 15:37:20
195,11185,3000212,2017-10-18 14:59:38
197,11187,3000256,2017-10-23 14:55:26
198,11188,3000259,2017-10-23 14:55:46
199,11189,3000260,2017-10-24 00:41:10
200,11190,3000261,2017-10-31 16:08:27
201,11191,3000263,2017-10-31 16:12:36
202,11192,3000264,2017-10-31 16:30:54
203,11193,3000265,2017-10-31 19:04:14
206,11194,3000230,2017-11-04 08:58:49
209,11197,3000275,2017-11-09 10:04:23
210,11198,3000282,2017-11-28 22:02:31
211,11199,3000266,2017-12-11 11:42:59
212,11200,3000276,2017-12-11 12:11:16
213,11201,3000277,2017-12-11 12:11:33
214,11202,3000294,2017-12-16 03:03:40
