2000032,"161-J2030A-PFAP","2016-09-14","2016-09-22","1BR28491",8000032,"2016-11-30 07:57:33"
2000033,"161-L3016A-PFAP","2016-11-30","2016-11-30","1BS33031 ",8000032,"2016-11-30 22:45:50"
2000034,"161-L3053A-PFAP","2016-11-30","2016-11-30","1BS07281",8000032,"2016-12-01 06:17:46"
2000035,"161-K3031A-PFAP","2016-12-01","2016-12-01","1BR63621",8000032,"2016-12-04 09:06:54"
2000036,"161-K2787A-PFEU","2016-12-01","2016-12-01","1BR68121",8000032,"2016-12-09 08:25:56"
2000037,"161-L1106A-PFAP","2016-12-01","2016-12-01","1BR72911",8000032,"2016-12-09 08:28:52"
2000038,"161-L2533A-PFAP","2016-12-01","2016-12-01","1BS02211",8000032,"2016-12-09 08:32:02"
2000039,"161-L2524A-PFAP","2016-12-01","2016-12-01","1BS02231",8000032,"2016-12-09 08:39:18"
2000040,"161-L2814A-PFAP","2016-12-01","2016-12-01","1BS03651",8000032,"2016-12-09 08:42:51"
2000041,"161-L3398A-PFAP","2016-12-01","2016-12-01","1BS07181",8000032,"2016-12-09 08:47:00"
2000042,"161-M1635A-PFAP","2016-12-01","2016-12-01","1BS20411",8000032,"2016-12-09 08:49:38"
2000043,"161-L1580B-VRAY","2016-10-02","2016-11-27","1BS17471",8000034,"2016-12-13 07:59:39"
2000044,"Al-Azbakia & Wind Rider","2016-11-01","2017-01-31","Al-Azbakia & Wind Rider",8000035,"2016-12-20 02:45:35"
2000045,"Titbit about Novels","2016-12-20","2016-12-20","Tit-bits about Novels",8000035,"2016-12-20 02:58:41"
2000046,"Daily Media Monitoring","2017-01-04","2017-01-04","",8000036,"2017-01-03 19:37:48"
2000047,"Coke events","2017-01-04","2017-01-04","",8000036,"2017-01-03 20:12:56"
2000048,"VAT Executive Regulations","2017-01-10","2017-01-10","",8000036,"2017-01-10 10:54:16"
2000049,"Unleashing Africaâ€™s Full Potential","2017-01-10","2017-01-10","",8000036,"2017-01-10 10:58:01"
2000050,"Youm7 Article 8/1/17","2017-01-10","2017-01-10","",8000036,"2017-01-10 11:00:49"
2000051,"171-A2055A-PFAP","2017-01-28","2017-01-28","1BS75071",8000032,"2017-01-28 03:59:00"
2000052,"171-A2052A-PFAP","2017-01-28","2017-01-28","1BS77291",8000032,"2017-01-28 04:01:10"
2000053,"P483.44//JOÃƒO MOREIRA//AR/ANG","2017-01-28","2017-01-28","P48 3/44",8000039,"2017-01-28 04:24:40"
2000054,"376.1007//ALICE NICOLAS//COR/ANG","2017-01-28","2017-01-28","37 6/1007",8000039,"2017-01-28 04:30:49"
2000055,"P103.4707//JOÃƒO MOREIRA//AR/ANG   ","2017-01-28","2017-01-28","P10 3/4707",8000039,"2017-01-28 04:38:43"
2000056,"P480.628//JOÃƒO MOREIRA//AR/ANG    ","2017-01-28","2017-01-28","P48 0/628",8000039,"2017-01-28 04:42:54"
2000057,"376.1011//MORGANE JOUANNIC//COR/ANG","2017-01-28","2017-01-28","37 6/1011",8000039,"2017-01-28 04:51:18"
2000059,"New Media ","2017-02-07","2017-02-07","",8000040,"2017-02-07 07:45:43"
2000060,"2017011616/#8","2017-01-30","2017-02-21","2017011616/#8/1",8000041,"2017-02-21 05:21:01"
2000062,"171-A2804A-PFAP","2017-03-11","2017-03-11","1BS89111",8000032,"2017-03-11 04:05:36"
2000063,"171-A2850A-PFAP","2017-03-11","2017-03-11","1BS92171",8000032,"2017-03-11 04:08:05"
2000064,"171-B1523A-PFAP","2017-03-11","2017-03-11","1BT03751",8000032,"2017-03-11 04:09:34"
2000065,"171-B1454A-PFAP","2017-03-11","2017-03-11","1BT08221",8000032,"2017-03-11 04:15:38"
2000066,"171-B1524A-PFAP","2017-03-11","2017-03-11","1BT08231",8000032,"2017-03-11 04:19:22"
2000067,"171-B1317A-PFAP","2017-03-11","2017-03-11","1BT13371",8000032,"2017-03-11 04:22:10"
2000068,"171-B3709A-PFAP","2017-03-11","2017-03-11","1BT48361",8000032,"2017-03-11 04:28:53"
2000069,"//376.1024//ALICE NICOLAS//COR/ANG","2017-03-11","2017-03-11","DESIGNATION",8000039,"2017-03-11 04:59:52"
